Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-05-19 11-AM,BTCUSD,9796.3,9903.89,9688.05,9744.79,1394.56,13692560.61
2020-05-19 11-PM,BTCUSD,9758.78,9799.98,9708.68,9787.65,325.79,3177334.8
2020-05-19 12-AM,BTCUSD,9721.91,9737.99,9562.57,9634.36,528.12,5082030.02
2020-05-19 12-PM,BTCUSD,9744.79,9757.29,9548.38,9622.33,1371.72,13213224.4
2020-05-20 01-AM,BTCUSD,9738.41,9768.26,9733.1,9745.04,133.82,1305404.08
2020-05-20 01-PM,BTCUSD,9765.99,9795.2,9740.78,9789.31,172.9,1689259.94
2020-05-20 02-AM,BTCUSD,9745.04,9751.69,9703.12,9730.45,136.01,1322146.24
2020-05-20 02-PM,BTCUSD,9789.31,9799,9761.47,9771.2,211.88,2071744.78
2020-05-20 03-AM,BTCUSD,9730.45,9775.32,9714.89,9724.08,149.75,1458894.6
2020-05-20 03-PM,BTCUSD,9771.2,9771.2,9100,9412.45,3978.71,37829312.48
2020-05-20 04-AM,BTCUSD,9724.08,9746.75,9697.66,9727.95,108.99,1059283.43
2020-05-20 04-PM,BTCUSD,9412.45,9525.19,9340,9487.48,1535.56,14534826.26
2020-05-20 05-AM,BTCUSD,9727.95,9750.63,9711.53,9744.3,84.76,825268.66
2020-05-20 05-PM,BTCUSD,9487.48,9552.27,9441.45,9538.14,752.5,7153824.04
2020-05-20 06-AM,BTCUSD,9744.3,9843.87,9615.76,9715.02,747.84,7282581.49
2020-05-20 06-PM,BTCUSD,9538.14,9543.99,9502.36,9536.95,244.33,2327006.23
2020-05-20 07-AM,BTCUSD,9715.02,9780.94,9697.5,9762.55,362.02,3530326.92
2020-05-20 07-PM,BTCUSD,9536.95,9542.26,9480.85,9529.21,727.68,6919677.72
2020-05-20 08-AM,BTCUSD,9762.55,9798.6,9736.81,9776.95,329.98,3225765.72
