Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-11-19,BTCUSD,8170.65,8197.77,7989.15,8121.63,4412.39,35731334.2
2019-11-20,BTCUSD,8121.63,8231.04,8027.28,8088.44,2996.01,24265795.69
2019-11-21,BTCUSD,8088.44,8116.92,7394.09,7611.51,9375.0,72431853.92
2019-11-22,BTCUSD,7611.51,7714.7,6785,7285.85,20120.15,144885449.41
2019-11-23,BTCUSD,7285.85,7356.49,7102.16,7320.39,5550.47,40106431.41
2019-11-24,BTCUSD,7320.39,7349.68,6861.96,6908.36,6047.02,42914524.55
2019-11-25,BTCUSD,6908.36,7380,6515,7122.14,18716.6,129366591.36
2019-11-26,BTCUSD,7122.14,7344.91,7018.78,7159.22,7643.85,54566242.21
2019-11-27,BTCUSD,7159.22,7676.27,6847.72,7527.84,15156.99,110349122.51
2019-11-28,BTCUSD,7527.84,7659.92,7372.19,7436.72,6925.58,52090533.13
2019-11-29,BTCUSD,7436.72,7870.35,7411.17,7753.69,7658.87,58602440.28
2019-11-30,BTCUSD,7753.69,7815,7452.08,7550.67,5446.27,41571365.44
2019-12-01,BTCUSD,7550.67,7560.2,7233.87,7412.66,5477.97,40318302.94
2019-12-02,BTCUSD,7412.66,7431.07,7140.08,7309.64,4324.3,31520978.02
2019-12-03,BTCUSD,7309.64,7415,7238.04,7300.43,2552.2,18683808.38
2019-12-04,BTCUSD,7300.43,7772.71,7087.09,7197.78,7737.39,56881650.2
2019-12-05,BTCUSD,7197.78,7500,7150.06,7390.42,4641.76,34104243.99
2019-12-06,BTCUSD,7390.42,7618.99,7305.56,7541.79,4167.24,31009940.79
2019-12-07,BTCUSD,7541.79,7638.88,7486.7,7502.65,2034.57,15354337.77
2019-12-08,BTCUSD,7502.65,7580,7382.69,7524.26,1798.77,13485555.31
2019-12-09,BTCUSD,7524.26,7666,7268.03,7340.52,6582.47,48984901.86
2019-12-10,BTCUSD,7340.52,7400,7150.23,7216.07,4090.62,29794651.28
2019-12-11,BTCUSD,7216.07,7271,7122.28,7207.42,3419.94,24643079.62
2019-12-12,BTCUSD,7207.42,7296.19,7072.2,7188.42,4376.89,31435190.58
2019-12-13,BTCUSD,7188.42,7302.35,7179.65,7257.47,3178.08,22970960.45
2019-12-14,BTCUSD,7257.47,7269,7007.48,7059.03,2012.35,14334264.59
2019-12-15,BTCUSD,7059.03,7225.23,7007,7115.08,1848.35,13129364.52
2019-12-16,BTCUSD,7115.08,7147.91,6820,6882.19,5923.06,41353720.35
2019-12-17,BTCUSD,6882.19,6938.77,6550,6612.3,7107.26,47895327.08
2019-12-18,BTCUSD,6612.3,7449.68,6425,7286.91,12873.63,87907793.92
2019-12-19,BTCUSD,7286.91,7372.12,7000,7149.57,5936.56,42356210.92
2019-12-20,BTCUSD,7149.57,7218.11,7072.61,7194.11,3201.66,22903428.01
2019-12-21,BTCUSD,7194.11,7194.13,7109.73,7147.4,1689.08,12063083.6
2019-12-22,BTCUSD,7147.4,7530,7124.52,7509.7,3796.23,27923854.9
2019-12-23,BTCUSD,7509.7,7692.98,7247.86,7316.17,6710.77,50266006.27
2019-12-24,BTCUSD,7316.17,7431.1,7156,7251.52,4194.59,30637380.18
2019-12-25,BTCUSD,7251.52,7266.81,7110.73,7195.79,1504.53,10824576.03
2019-12-26,BTCUSD,7195.79,7432,7150,7188.3,3116.75,22627576.21
2019-12-27,BTCUSD,7188.3,7255.37,7052,7246,4024.57,28884846.43
2019-12-28,BTCUSD,7246,7349.65,7231,7296.24,1579.7,11528551.51
2019-12-29,BTCUSD,7296.24,7524.46,7274.43,7385.54,2583.85,19120178.74
2019-12-30,BTCUSD,7385.54,7385.54,7199,7220.24,3722.91,27106970.23
2019-12-31,BTCUSD,7220.24,7302.35,7112.55,7168.36,2638.69,18984547.33
2020-01-01,BTCUSD,7168.36,7237.35,7150,7178.68,1119.11,8052270.93
2020-01-02,BTCUSD,7178.68,7184.94,6900,6950.56,3972.71,27928978.29
2020-01-03,BTCUSD,6950.56,7402.31,6853.53,7338.91,8072.73,58367332.83
2020-01-04,BTCUSD,7338.91,7396.1,7256.03,7344.48,3256.74,23825437.64
2020-01-05,BTCUSD,7344.48,7495,7310,7356.7,2707.27,20108463.48
2020-01-06,BTCUSD,7356.7,7817,7342.46,7762.74,6728.28,51148366.7
2020-01-07,BTCUSD,7762.74,8220,7697.03,8159.01,12158.32,96360835.32
2020-01-08,BTCUSD,8159.01,8463.57,7872.09,8044.44,11913.23,97929528.57
2020-01-09,BTCUSD,8044.44,8048.94,7737.97,7806.78,5957.24,47018267.8
2020-01-10,BTCUSD,7806.78,8200,7667,8200,8999.99,71487988.31
2020-01-11,BTCUSD,8200,8286,8000,8016.22,3788.33,30769860.95
